MAINPREDIR,MAINPRETYPE,MAINNAME,MAINSUFDIR,MAINSUFTYPE,MAINFULNAME,ALS1PREDIR,ALS1PRETYPE,ALS1NAME,ALS1SUFDIR,ALS1SUFTYPE,ALS1FULNAME,ALS2PREDIR,ALS2PRETYPE,ALS2NAME,ALS2SUFDIR,ALS2SUFTYPE,ALS2FULNAME,ALS3PREDIR,ALS3PRETYPE,ALS3NAME,ALS3SUFDIR,ALS3SUFTYPE,ALS3FULNAME,OWNERSHIP,MAINTAINEDBY,FIPSCODE,NUMBLANES,FUNCTIONCODE,SURFACE,SURFACETYPE,ONEWAY,ONEWAYDIR,PAVSEGID,STATUS,COMMENTS,NOTES,ADDRNG_L_F,ADDRNG_L_T,ADDRNG_R_F,ADDRNG_R_T,CITY_L,CITY_R,COUNTY_L,COUNTY_R,STATE_L,STATE_R,ZIP_L,ZIP_R,COUNTRYCODE,BLOCKID_L,BLOCKID_R,CREATED_DATE,LAST_UPDATED,LAST_EDITOR,CURVE,ROAD_NUMB,CARTO_SYMB,ROW_WIDTH,PAVE_WIDTH,Enabled,GlobalID,created_user,last_edited_user,last_edited_date,Shape_Length
,,FOURTH,,AVE,FOURTH AVE,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,143,155,144,156,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{09937BA7-3547-403C-A4A8-C1D4F64231A7},,,,429.983014189768141
,,HUDSON AURORA,,RD,HUDSON AURORA RD,,,,,,,,,,,,,,,,,,,,,,,C,,,0,,,,,,180,198,181,199,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{09A51DDD-3D87-41B9-993E-053A85723193},,,,1687.411174633050678
,,HARDIE,,LN,HARDIE LN,,,,,,,,,,,,,,,,,,,,M,,,A,,,0,,,,,,1,29,2,28,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{09BB0B99-EE59-49D5-B7CD-32BB2D2777EB},,,,1987.010228067663775
,,CHIANTI,,WAY,CHIANTI WAY,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,420,426,421,427,DAY,DAY,LYN,LYN,NV,NV,89403,89403,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0A101535-876B-47D6-B100-6C2376D98487},,,,213.097721435090392
,,THIRD NORTH,,ST,THIRD NORTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0A4A08E3-53B4-43DD-A8C6-FA32661A5F12},,,,212.007350510256430
,,CREMETTI,,LN,CREMETTI LN,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,29,2,30,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0B1C4B39-C19C-4746-92EE-EA0FA93A81AE},,,,5266.549265686051513
,NV,339,,HWY,NV HWY 339,,,VETERANS MEMORIAL,,HWY,VETERANS MEMORIAL HWY,,,,,,,,,,,,,,,,,,,,0,,,,,,266,268,271,273,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,339,SR,,,1,{0B295DB1-B230-456A-A8EE-4C7800B2675B},,,,207.771267221383908
,,RIVER VIEW,,DR,RIVER VIEW DR,,,,,,,,,,,,,,,,,,,,NM,,,M,,,0,,,,,,,,,,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0BD4D8A1-EC7A-4E11-AE28-005CC59A13AC},,,,991.590171111308109
,,STEWART,,AVE,STEWART AVE,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,DIRT,,,1,{0C876482-5331-4262-8856-51F38E413D5C},,,,230.191355051415115
,,HIGHGRADE,,RD,HIGHGRADE RD,,,,,,,,,,,,,,,,,,,,,,,,,GR,0,,,,,,9,11,10,12,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0C87EA30-3C72-44F5-BDC3-61B574D153FC},,,,215.513384188307953
